title,link,year,publication_type,publication_date,doi,abstract,authors,patent,created_at,updated_at,trackid
PIM-AI: A Novel Architecture for High-Efficiency LLM Inference,https://www.researchgate.net/publication/386143409_PIM-AI_A_Novel_Architecture_for_High-Efficiency_LLM_Inference,2024,Preprint,2024-11-01 00:00:00,,"Large Language Models (LLMs) have become essential in a variety of applications due to their advanced language understanding and generation capabilities. However, their computational and memory requirements pose significant challenges to traditional hardware architectures. Processing-in-Memory (PIM), which integrates computational units directly into memory chips, offers several advantages for LLM inference, including reduced data transfer bottlenecks and improved power efficiency. This paper introduces PIM-AI, a novel DDR5/LPDDR5 PIM architecture designed for LLM inference without modifying the memory controller or DDR/LPDDR memory PHY. We have developed a simulator to evaluate the performance of PIM-AI in various scenarios and demonstrate its significant advantages over conventional architectures. In cloud-based scenarios, PIM-AI reduces the 3-year TCO per queries-per-second by up to 6.94x compared to state-of-the-art GPUs, depending on the LLM model used. In mobile scenarios, PIM-AI achieves a 10- to 20-fold reduction in energy per token compared to state-of-the-art mobile SoCs, resulting in 25 to 45~\% more queries per second and 6.9x to 13.4x less energy per query, extending battery life and enabling more inferences per charge. These results highlight PIM-AI's potential to revolutionize LLM deployments, making them more efficient, scalable, and sustainable.","Cristobal Ortega, Yann Falevoz, Renaud Ayrignac",,2025-01-20 00:49:05.363651,2025-01-20 00:49:05.363651,2f424434d68511ef984c0c9a3cb15cde
Design of Waveguide Probe for EMI Characterization of DDR5 SODIMM,https://www.researchgate.net/publication/384792328_Design_of_Waveguide_Probe_for_EMI_Characterization_of_DDR5_SODIMM,2024,Conference Paper,2024-08-01 00:00:00,,,"Xiangrui Su, Junho Joo, Minsu Lee, Jeongho Ju",,2025-01-20 00:49:05.389835,2025-01-20 00:49:05.389835,2f424434d68511ef984c0c9a3cb15cde
MOAT: Securely Mitigating Rowhammer with Per-Row Activation Counters,https://www.researchgate.net/publication/382271088_MOAT_Securely_Mitigating_Rowhammer_with_Per-Row_Activation_Counters,2024,Preprint,2024-07-01 00:00:00,,"The security vulnerabilities due to Rowhammer have worsened over the last decade, with existing in-DRAM solutions, such as TRR, getting broken with simple patterns. In response, the DDR5 specifications have been extended to support Per-Row Activation Counting (PRAC), with counters inlined with each row, and ALERT-Back-Off (ABO) to stop the memory controller if the DRAM needs more time to mitigate. Although PRAC+ABO represents a strong advance in Rowhammer protection, they are just a framework, and the actual security is dependent on the implementation. In this paper, we first show that a prior work, Panopticon (which formed the basis for PRAC+ABO), is insecure, as our Jailbreak pattern can cause 1150 activations on an attack row for Panopticon configured for a threshold of 128. We then propose MOAT, a provably secure design, which uses two internal thresholds: ETH, an ""Eligibility Threshold"" for mitigating a row, and ATH, an ""ALERT Threshold"" for initiating an ABO. As JEDEC specifications permit a few activations between consecutive ALERTs, we also study how an attacker can exploit such activations to inflict more activations than ATH on an attack row and thus increase the tolerated Rowhammer threshold. Our analysis shows that MOAT configured with ATH=64 can safely tolerate a Rowhammer threshold of 99. Finally, we also study performance attacks and denial-of-service due to ALERTs. Our evaluations, with SPEC and GAP workloads, show that MOAT with ATH=64 incurs an average slowdown of 0.28\% and 7 bytes of SRAM per bank.","Moinuddin Qureshi, Salman Qazi",,2025-01-20 00:49:05.415931,2025-01-20 00:49:05.415931,2f424434d68511ef984c0c9a3cb15cde
A Distributed Co-Simulation Environment and its Application in HW-FW Verification,https://www.researchgate.net/publication/384064761_A_Distributed_Co-Simulation_Environment_and_its_Application_in_HW-FW_Verification,2024,Presentation,2024-07-01 00:00:00,,"DAC 2024: Best Presentation | Honorary Mention

In this talk, we present Cross Testbench (XTB), a distributed co-simulation environment that enables co-simulation across two simulation approaches, event-driven and cycle-based. Event-driven and cycle-based simulation are two commonly utilized verification approaches in the industry. The former takes into account delays and timings, is versatile, and works well with asynchronous systems, which makes it ideal for achieving highly accurate simulations. However, simulation speed depends on the model size and activity, making it slower for large designs. Whereas, cycle simulation is faster, scales better, and supports hardware acceleration, but does not include timing information, which makes it more suitable for large designs such as server microprocessors. Each approach has distinct benefits, and leveraging both ensures reliable and precise verification while maintaining rapid execution and extensive test coverage. We leveraged XTB to achieve chip-level verification allowing for interplay between parts of the design which were required to be simulated with event simulation (such as vendor delivered Verification IPs for physical parts), and the rest of it which utilized cycle simulation to achieve high throughput. We highlight the successful usage of XTB to verify IBM's memory buffer chip which integrates external IPs such as DDR5 and PCIe. In addition, we outline XTBs capability to save and restart in a distributed co-simulation to significantly improve performance in a production environment.","Pretty Mariam Jacob, Arun Joseph",,2025-01-20 00:49:05.443987,2025-01-20 00:49:05.443987,2f424434d68511ef984c0c9a3cb15cde
"Chip Guard ECC: An Efficient, Low Latency Method",https://www.researchgate.net/publication/367251303_Chip_Guard_ECC_An_Efficient_Low_Latency_Method,2023,Preprint,2023-01-01 00:00:00,,"Chip Guard is a new approach to symbol-correcting error correction codes. It can be scaled to various data burst sizes and reliability levels. A specific version for DDR5 is described. It uses the usual DDR5 configuration of 8 data chips, plus 2 chips for ECC and metadata, with 64-bit bursts per chip, to support whole-chip correction reliably and with high probity (reporting of uncorrectable faults). Various numbers of metadata bits may be supported with defined tradeoffs for reliability and probity. The method should correct all bounded faults of a single chip, with less than 1 in 10^12 chance of failing to correct unbounded faults in one chip, or less than 1 in 10^12 chance of failure to detect an uncorrected fault which affects multiple chips.",Tanj Bennett,,2025-01-20 00:49:05.472784,2025-01-20 00:49:05.472784,2f424434d68511ef984c0c9a3cb15cde
Understanding the Security Benefits and Overheads of Emerging Industry Solutions to DRAM Read Disturbance,https://www.researchgate.net/publication/381770547_Understanding_the_Security_Benefits_and_Overheads_of_Emerging_Industry_Solutions_to_DRAM_Read_Disturbance,2024,Preprint,2024-06-01 00:00:00,,"We present the first rigorous security, performance, energy, and cost analyses of the state-of-the-art on-DRAM-die read disturbance mitigation method, Per Row Activation Counting (PRAC), described in JEDEC DDR5 specification's April 2024 update. Unlike prior state-of-the-art that advises the memory controller to periodically issue refresh management (RFM) commands, which provides the DRAM chip with time to perform refreshes, PRAC introduces a new back-off signal. PRAC's back-off signal propagates from the DRAM chip to the memory controller and forces the memory controller to 1) stop serving requests and 2) issue RFM commands. As a result, RFM commands are issued when needed as opposed to periodically, reducing RFM's overheads. We analyze PRAC in four steps. First, we define an adversarial access pattern that represents the worst-case for PRAC's security. Second, we investigate PRAC's configurations and security implications. Our analyses show that PRAC can be configured for secure operation as long as no bitflip occurs before accessing a memory location 10 times. Third, we evaluate the performance impact of PRAC and compare it against prior works using Ramulator 2.0. Our analysis shows that while PRAC incurs less than 13.4% performance overhead for today's DRAM chips, its performance overheads can reach up to 63.2% for future DRAM chips that are more vulnerable to read disturbance bitflips. Fourth, we define an availability adversarial access pattern that exacerbates PRAC's performance overhead to perform a memory performance attack, demonstrating that such an adversarial pattern can hog up to 79% of DRAM throughput and degrade system throughput by up to 65%. We discuss PRAC's implications on future systems and foreshadow future research directions. To aid future research, we open-source our implementations and scripts at https://github.com/CMU-SAFARI/ramulator2.","Oğuzhan Canpolat, Abdullah Giray Yaglikçi, Geraldo Francisco Oliveira, Ataberk Olgun",,2025-01-20 00:49:05.494865,2025-01-20 00:49:05.494865,2f424434d68511ef984c0c9a3cb15cde
A Foveated Framework to Accelerate Real-Time Path Tracing,https://www.researchgate.net/publication/381490646_A_Foveated_Framework_to_Accelerate_Real-Time_Path_Tracing,2024,Poster,2024-06-01 00:00:00,,"The slow convergence rate hinders path tracing 4 from real-time applications. In this study we developed a foveated path tracing framework using NVIDIA's OptiX 7.5 API, CUDA 12.1, and C++. Depending on the scene complexity, the framework can enhance the rendering performance up to 25x. Foveated ray tracing has become increasingly popular recently. Yang et al.¹ presented a variable rate sampling for ray tracing. Besides, Polychronakis et al.² developed a foveated path tracing sandbox for eccentricity threshold study. Likewise, Calla et al.³ designed a foveated path tracing framework for multi-tiled large display walls, significantly reduces the required peripheral sample number. Users can select either uniform or foveated path tracing modes at the outset. With foveated mode, the users can further adjust the foveated and intermediate area, the pixel-block size, and sample number for each of the three regions. Our framework consists of four important components: the area of interest, a piecewise visual acuity fall-off model, a bound check and path tracing algorithm, and pixel filling with post-processing. Finally, the three regions are blended seamlessly with one render pass. We employed backward path tracing 4 , with Disney BRDF, and multiple importance sampling. As post-processing, we applied subpixel jitter, exposure compensation, and Reinhard tone mapping for a mellow output. Figure 1: Image space division and sample distribution (left), illustration of the rendering framework (right). The foveated region casts 32 spp, the intermediate area casts 16 samples for (2x2), and the periphery casts 8 samples per (4x4) pixel block. We utilized an Intel Core i9 12900Ks processor with 128 GBytes of DDR5 RAM. Our system has an NVIDIA GeForce RTX 3090 GPU with 24 Gbytes VRAM with the latest NVidia studio driver, 536.99. Our framework has been tested on Windows 10 Education 22H2 (x64) and can also be executed on the Linux platform. To visualize the final outputs, we used a Dell G3223Q 32-inch 4K UHD Gaming Monitor. Table 1: The frame-rate comparison (Figure 2). Figure 2: (Top row) uniform path tracing with 32 spp. (Bottom row) foveated path tracing with 32, 16, 8 samples. Applying a more aggressive foveation, for instance, reducing the foveated and intermediate areas in half on the Crytek Sponza while maintaining the same foveated sample number and pixel-block approach can speed up the rendering process by 44.67x. Besides, we tested different sample numbers, retain constant as 32 spp in the fovea, intermediate and periphery was varied (16,8), (8,4), and (2,1). The frame rate, and speed up in Table 2. Table 2: The speed up linearly increases with lower sample number. Figure 3: Outputs from the Crytek Sponza with different sample configurations. Figure (e)-(g) is the FLIP error map 5 with the reference image (a). Our framework can meet the high computational demands of path tracer on a pixel-intensive display and provides an efficient, flexible, and practical solution.","Bipul Mohanto, Sven Kluge, Oliver Staadt",,2025-01-20 00:49:05.519909,2025-01-20 00:49:05.519909,2f424434d68511ef984c0c9a3cb15cde
Simulating DDR5 Systems with Clocked Receivers,https://www.researchgate.net/publication/371521354_Simulating_DDR5_Systems_with_Clocked_Receivers,2023,Conference Paper,2023-05-01 00:00:00,,,"Matthew Leslie, Justin Butterfield, Randy Wolff",,2025-01-20 00:49:05.551239,2025-01-20 00:49:05.551239,2f424434d68511ef984c0c9a3cb15cde
Deficiency of Peroxiredoxin-4 and Dopamine D5 Receptor Increases NLRP3-Inflammasome Activity,https://www.researchgate.net/publication/378365932_Deficiency_of_Peroxiredoxin-4_and_Dopamine_D5_Receptor_Increases_NLRP3-Inflammasome_Activity,2024,Poster,2024-02-01 00:00:00,,"BACKGROUND
Dopamine 5 receptor (D5R) interacts with Peroxiredoxin-4 (PRDX4) to reduce oxidative stress and inflammation. Drd5 knockout (Drd5-/-) mice are hypertensive and in a state of oxidative stress and chronic inflammation. However, the gene’s specific association with the regulation of inflammasomal activity in the kidney is unknown.

METHODS
To investigate inflammasomal activity, the protein expressions of interleukin (IL)-1β, IL-18, and caspase-1 were quantified by immunoblotting. The PRDX4 gene was silenced in HEK 293 cells overexpressing D5R. Drd5-/- mice were generated as previously reported.

RESULTS
D5R protein expression was decreased in PRDX4 siRNA-transfected D5R-HEK 293 cells (PRDX4 siRNA: 58.8±6.7% vs Mock: 100.0±9.6%, n=4), and PRDX4 protein was also reduced in the kidney cortices of Drd5-/- mice (Drd5+/+: 100±12.8%, n=3; D5R-/-: 69.2±7.5%, n=4). In D5R-HEK 293 cells -transfected with PRDX4 siRNA, the protein expressions of nucleotide-binding oligomerization domain, leucine-rich repeat, and pyrin domain-containing-3 (NLRP3) were increased compared with mock-transfected cells (siRNA: 142.7±8.9%, Mock: 100±1.8%). The protein expressions of cleaved IL-1β (siRNA: 176.3±37.0%, Mock: 100.0±12.7%) and cleaved IL-18 (siRNA:710.0±214.8%, Mock: 100±8.1%) were likewise increased compared with mock- transfected cells, indicating an increase in inflammatory response due to NLRP3 activity. The increase in NLRP3 activity with silenced PRDX4 was attenuated by tempol, a superoxide dismutase mimetic, in D5R-HEK293 cells, indicating that oxidative stress was upstream of the increase in NLRP3-associated inflammasomal activity induced by PRDX4 deficiency. Consequently, protein expression of cleaved caspase-1 was increased in renal cortices from Drd5-/- mice (Drd5+/+: 100±2.6%; Drd5-/-:112.6±3.1%, n=3). Consistent with this increase, the protein expressions of cleaved IL-1β (Drd5+/+: 100.0±11.1%, n=3; Ddr5-/-:152.9±13.5%, n=4), secreted IL-1β (Drd5+/+: 100.0±1.5%, n=3; Drd5-/-:137.4±2.2%, n=4), and cleaved IL-18 (Drd5+/+: 100.0±8.3%; Drd5-/-:166.0±10.4%, n=3) were also increased compared with their wild-type littermates.

CONCLUSION
The increase in renal inflammation associated with PRDX4 deficiency in Drd5-/- mice is due to the increase in NLRP3-inflammasome activity.","Jacob Polzin, Bibhas Amatya, Laureano Asico, Ines Armando",,2025-01-20 00:49:05.572387,2025-01-20 00:49:05.572387,2f424434d68511ef984c0c9a3cb15cde
An Energy Efficient DDR5 I/O Performance Boost in Clamshell Configuration by Charge Pumping From Non-Target Device,https://www.researchgate.net/publication/381762196_An_Energy_Efficient_DDR5_IO_Performance_Boost_in_Clamshell_Configuration_by_Charge_Pumping_From_Non-Target_Device,2024,Conference Paper,2024-05-01 00:00:00,,,Ryuichi Oikawa,,2025-01-20 00:49:05.600918,2025-01-20 00:49:05.600918,2f424434d68511ef984c0c9a3cb15cde
Receiver Characterization with On-Die Eye Monitor (ODEM) in LPDDR5 and DDR5 SDRAM,https://www.researchgate.net/publication/377683528_Receiver_Characterization_with_On-Die_Eye_Monitor_ODEM_in_LPDDR5_and_DDR5_SDRAM,2023,Conference Paper,2023-10-01 00:00:00,,,"Feng Dan Lin, Kang Leo Zhao",,2025-01-20 00:49:05.624444,2025-01-20 00:49:05.624444,2f424434d68511ef984c0c9a3cb15cde
Cyber-physical recreation of six DOF industrial robot arm,https://www.researchgate.net/publication/375782345_Cyber-physical_recreation_of_six_DOF_industrial_robot_arm,2023,Article,2023-11-01 00:00:00,DOI:10.1556/1848.2023.00660,"The Cyber-Physical and Vehicle Manufacturing Laboratory, a model Industry 4.0 laboratory, is applying new innovative solutions to improve the quality of education. As part of this, a digital twin of the lab was designed and built, where users can practice. In the virtual space, it is possible to apply the known robot motion types, and the tool centre and wrist speed have been measured virtually. Robot control tasks can be performed “offline” using parameters. This information can then be transferred to the actual physical robot unit. The stable diffusion 1.5 deep learning model generates 2D geometric shapes for trajectory, allowing users to perform unique tasks during education. The Google Colab cloud-based service was used to teach our rendered-type dataset. For the 3D simulation frame, we used V-REP, which was developed on a desktop PC equipped with an Intel Core i5 7600K processor, Nvidia GTX1070 VGA with 8 GB of DDR5 VRAM, and 64 GB of DDR4 memory modules. The following material describes an existing industrial six-axis robot arm and its implementation, which can be controlled and programmed while performing virtual measurements after integrating into a Cyber-Physical system and using deep learning techniques.","Timothy István Erdei, Dávid Péter Nusser, Géza Husi",,2025-01-20 00:49:05.647906,2025-01-20 00:49:05.647906,2f424434d68511ef984c0c9a3cb15cde
A New Approach to IBIS-AMI Modeling of Single-Ended Memory Interfaces,https://www.researchgate.net/publication/357553900_A_New_Approach_to_IBIS-AMI_Modeling_of_Single-Ended_Memory_Interfaces,2021,Conference Paper,2021-09-01 00:00:00,,"As the data rate and performance of single-ended parallel interfaces is evolving, the need for a more comprehensive behavioral modeling capable of accurate modeling of equalization and timing recovery becomes more evident, particularly for the latest memory interfaces such as DDR5, LPDDR5 and GDDR6, which incorporate equalization blocks such as FIR, CTLE and/or DFE. A promising modeling approach to model such equalization blocks is the IBIS-AMI standard. However, conventional AMI approach is tailored to model differential signals in multi-gigabit SerDes systems and do not support single-ended signaling as well as source-synchronous clocking that are key features of memory systems. Due to these fundamental architectural differences between parallel and serial interfaces, IBIS-AMI standard needs to be extended to support the unique features such as clock-forwarding and DC offset present in single-ended signaling. In this paper, a new approach to IBIS-AMI modeling methodology for single-ended interface is presented. The approach provides a robust solution to fundamental challenges in memory interface modeling including asymmetric rise and fall edges, common-mode in single-ended signal, clock forwarding, unmatched path, noise/jitter tracking, and phase interpolator. The key differences between SerDes and Single-Ended IBIS-AMI are explained, pertinent modeling and simulation flows are discussed and verified by DDR5 and LPDDR5 design examples.","Fangyi Rao, Ashkan Hashemi, Wendem Beyene, Jingtao Liu",,2025-01-20 00:49:05.674190,2025-01-20 00:49:05.674190,2f424434d68511ef984c0c9a3cb15cde
DDR5 Electrical Challenges in High-Speed Server Design,https://www.researchgate.net/publication/373353723_DDR5_Electrical_Challenges_in_High-Speed_Server_Design,2023,Conference Paper,2023-05-01 00:00:00,,,"D.H. H Winterberg, Vijender Kumar, Tom Chen, Bhyrav Mutnury",,2025-01-20 00:49:05.695588,2025-01-20 00:49:05.695588,2f424434d68511ef984c0c9a3cb15cde
A crosstalk mitigation method of DDR5 in large size LGA package,https://www.researchgate.net/publication/379773354_A_crosstalk_mitigation_method_of_DDR5_in_large_size_LGA_package,2023,Conference Paper,2023-08-01 00:00:00,,,"Keqing Ouyang, Shineng Ma, Feng Wu, Chao Lei",,2025-01-20 00:49:05.718482,2025-01-20 00:49:05.718482,2f424434d68511ef984c0c9a3cb15cde
Run Time Memory Error Recovery Process in Networking System,https://www.researchgate.net/publication/375891145_Run_Time_Memory_Error_Recovery_Process_in_Networking_System,2023,Conference Paper,2023-11-01 00:00:00,,"System memory errors have always been problematic; today, they cause more than forty percent of confirmed hardware errors in repair centers for both data centers and telecommunications network nodes. Therefore, it is somewhat expected that, in recent years, device manufacturers improved the hardware features to support hardware-assisted fault management implementation. For example, the new standard, DDR5, includes both data redundancy, the so-called Error Correcting Code (ECC), and physical redundancy, the post-package repair (PPR), as mandatory features. Production and repair centers mainly use physical redundancy to replace faulty memory rows. In contrast, field use still needs to be improved, mainly due to a need for integrated system solutions for network nodes. This paper aims to compensate for this shortcoming and presents a system solution for handling memory errors. It is a multi-technology proposition (mixed use of ECC and PPR) based on multi-layer (hardware, firmware, and software) error information exchange.","Carlo Vitucci, Daniel Sundmark, Jakob Danielsson, Marcus Jägemar",,2025-01-20 00:49:05.744131,2025-01-20 00:49:05.744131,2f424434d68511ef984c0c9a3cb15cde
Bandwidth Limits in the Intel Xeon Max (Sapphire Rapids with HBM) Processors,https://www.researchgate.net/publication/373382771_Bandwidth_Limits_in_the_Intel_Xeon_Max_Sapphire_Rapids_with_HBM_Processors,2023,Chapter,2023-08-01 00:00:00,,"The HBM memory of Intel Xeon Max processors provides significantly higher sustained memory bandwidth than their DDR5 memory, with corresponding increases in the performance of bandwidth-sensitive applications. However, the increase in sustained memory bandwidth is much smaller than the increase in peak memory bandwidth. Using custom microbenchmarks (instrumented with hardware performance counters) and analytical modeling, the primary bandwidth limiter is shown to be insufficient memory concurrency. Secondary bandwidth limitations due to non-uniform loading of the two-dimensional on-chip mesh interconnect are shown to arise not far behind the primary limiters.KeywordsMemory BandwidthConcurrencyHBMSapphire Rapids",John David McCalpin,,2025-01-20 00:49:05.776275,2025-01-20 00:49:05.776275,2f424434d68511ef984c0c9a3cb15cde
GA-Optimized 6.0-Gbps DDR5 SDRAM I/O Buffer Design for 16-nm FinFET CMOS Process,https://www.researchgate.net/publication/382420980_GA-Optimized_60-Gbps_DDR5_SDRAM_IO_Buffer_Design_for_16-nm_FinFET_CMOS_Process,2024,Conference Paper,2024-04-01 00:00:00,,,"Jhih-Ying Ke, Lean Karlo Tolentino, Cheng-Yao Lo, Tzung-Je Lee",,2025-01-20 00:49:05.799363,2025-01-20 00:49:05.799363,2f424434d68511ef984c0c9a3cb15cde
"Ramulator 2.0: A Modern, Modular, and Extensible DRAM Simulator",https://www.researchgate.net/publication/373297841_Ramulator_20_A_Modern_Modular_and_Extensible_DRAM_Simulator,2023,Preprint,2023-08-01 00:00:00,,"We present Ramulator 2.0, a highly modular and extensible DRAM simulator that enables rapid and agile implementation and evaluation of design changes in the memory controller and DRAM to meet the increasing research effort in improving the performance, security, and reliability of memory systems. Ramulator 2.0 abstracts and models key components in a DRAM-based memory system and their interactions into shared interfaces and independent implementations. Doing so enables easy modification and extension of the modeled functions of the memory controller and DRAM in Ramulator 2.0. The DRAM specification syntax of Ramulator 2.0 is concise and human-readable, facilitating easy modifications and extensions. Ramulator 2.0 implements a library of reusable templated lambda functions to model the functionalities of DRAM commands to simplify the implementation of new DRAM standards, including DDR5, LPDDR5, HBM3, and GDDR6. We showcase Ramulator 2.0's modularity and extensibility by implementing and evaluating a wide variety of RowHammer mitigation techniques that require different memory controller design changes. These techniques are added modularly as separate implementations without changing any code in the baseline memory controller implementation. Ramulator 2.0 is rigorously validated and maintains a fast simulation speed compared to existing cycle-accurate DRAM simulators. Ramulator 2.0 is open-sourced under the permissive MIT license at https://github.com/CMU-SAFARI/ramulator2","Haocong Luo, Yahya Can Tuğrul, F. Nisa Bostancı, Ataberk Olgun",,2025-01-20 00:49:05.821057,2025-01-20 00:49:05.821057,2f424434d68511ef984c0c9a3cb15cde
A Fast-Lock DLL with Prediction-Based Fast-Track FDL Structure for DDR5 SDRAMs,https://www.researchgate.net/publication/377688962_A_Fast-Lock_DLL_with_Prediction-Based_Fast-Track_FDL_Structure_for_DDR5_SDRAMs,2023,Conference Paper,2023-10-01 00:00:00,,,"Gaoyuan Pang, Brian Lee, Jake Jung, Chris Eom",,2025-01-20 00:49:05.849118,2025-01-20 00:49:05.849118,2f424434d68511ef984c0c9a3cb15cde
"A 4% Impedance Variation JEDEC Compatible ZQ Calibrator for DDR3, DDR4 and DDR5 SDRAM",https://www.researchgate.net/publication/376826724_A_4_Impedance_Variation_JEDEC_Compatible_ZQ_Calibrator_for_DDR3_DDR4_and_DDR5_SDRAM,2023,Conference Paper,2023-10-01 00:00:00,,,Hongguang Zhang,,2025-01-20 00:49:05.878291,2025-01-20 00:49:05.878291,2f424434d68511ef984c0c9a3cb15cde
Time Interval Error (TIE)-based SI Design and Characterization of DDR5 Data Strobe Signaling,https://www.researchgate.net/publication/379059800_Time_Interval_Error_TIE-based_SI_Design_and_Characterization_of_DDR5_Data_Strobe_Signaling,2023,Conference Paper,2023-12-01 00:00:00,,,"Shinyoung Park, Vinod Arjun Huddar",,2025-01-20 00:49:05.903790,2025-01-20 00:49:05.903790,2f424434d68511ef984c0c9a3cb15cde
Extracting High Speed Refresh Current for DDR5 Module based on Network Parameter Theory,https://www.researchgate.net/publication/374611203_Extracting_High_Speed_Refresh_Current_for_DDR5_Module_based_on_Network_Parameter_Theory,2023,Conference Paper,2023-09-01 00:00:00,,,"Wonseok Hong, Kwangho Kim, Jaeyoung Shin, Rakjoo Sung",,2025-01-20 00:49:05.927858,2025-01-20 00:49:05.927858,2f424434d68511ef984c0c9a3cb15cde
Package Signal Propagation Delay Characterization for DDR5,https://www.researchgate.net/publication/361400783_Package_Signal_Propagation_Delay_Characterization_for_DDR5,2022,Conference Paper,2022-05-01 00:00:00,,,"Shinyoung Park, Vinod Arjun Huddar",,2025-01-20 00:49:05.950642,2025-01-20 00:49:05.950642,2f424434d68511ef984c0c9a3cb15cde
Advanced Fly-By Routing Topology for Gbps DDR5 Systems,https://www.researchgate.net/publication/365664077_Advanced_Fly-By_Routing_Topology_for_Gbps_DDR5_Systems,2022,Conference Paper,2022-10-01 00:00:00,,,"Shinyoung Park, Vinod Arjun Huddar",,2025-01-20 00:49:05.975187,2025-01-20 00:49:05.975187,2f424434d68511ef984c0c9a3cb15cde
Redundant Array of Independent Memory Devices,https://www.researchgate.net/publication/375777395_Redundant_Array_of_Independent_Memory_Devices,2023,Article,2023-07-01 00:00:00,DOI:10.1109/LCA.2023.3334989,"DRAM memory reliability is increasingly a concern as recent studies found. In this paper, we propose RAIMD (Redundant Array of Independent Memory Devices), an energy-efficient memory organization with RAID-like error protection. In this organization, each memory device works as an independent memory module to serve a whole memory request and to support error detection and error recovery. It relies on the high data rate of modern memory device to minimize the performance impact of increased data transfer time. RAIMD provides chip-level error protection similar to ChipKill but with significant energy savings. Our simulation results indicate that RAIMD can save memory energy by 26.3% on average with a small performance overhead of 5.3% on DDR5-4800 memory systems for SPEC2017 multi-core workloads.","Peiyun Wu, Trung Le, Zhichun Zhu, Zhao Zhang",,2025-01-20 00:49:05.994738,2025-01-20 00:49:05.994738,2f424434d68511ef984c0c9a3cb15cde
Thermal Analysis of DDR5 DIMM with Forced Air Cooling Method,https://www.researchgate.net/publication/366611877_Thermal_Analysis_of_DDR5_DIMM_with_Forced_Air_Cooling_Method,2022,Conference Paper,2022-12-01 00:00:00,,,"Keeyoung Son, Daehwan Lho, Seongguk Kim, Joonsang Park",,2025-01-20 00:49:06.022749,2025-01-20 00:49:06.022749,2f424434d68511ef984c0c9a3cb15cde
13.2 A 32Gb 8.0Gb/s/pin DDR5 SDRAM with a Symmetric-Mosaic Architecture in a 5 th -Generation 10nm DRAM Process,https://www.researchgate.net/publication/378945860_132_A_32Gb_80Gbspin_DDR5_SDRAM_with_a_Symmetric-Mosaic_Architecture_in_a_5_th_-Generation_10nm_DRAM_Process,2024,Conference Paper,2024-02-01 00:00:00,,,"Ikjoon Choi, Seunghwan Hong, Kihyun Kim, Jeong-Sik Hwang",,2025-01-20 00:49:06.043393,2025-01-20 00:49:06.043393,2f424434d68511ef984c0c9a3cb15cde
Jitter Addition Methodology for DDR5 Tx IBIS Model,https://www.researchgate.net/publication/363427252_Jitter_Addition_Methodology_for_DDR5_Tx_IBIS_Model,2022,Conference Paper,2022-08-01 00:00:00,,,"Shinyoung Park, Vinod Arjun Huddar",,2025-01-20 00:49:06.063506,2025-01-20 00:49:06.063506,2f424434d68511ef984c0c9a3cb15cde
DDT-RELATED PROTEIN4-IMITATION SWITCH alters nucleosome distribution to relieve transcriptional silencing in Arabidopsis,https://www.researchgate.net/publication/370923728_DDT-RELATED_PROTEIN4-IMITATION_SWITCH_alters_nucleosome_distribution_to_relieve_transcriptional_silencing_in_Arabidopsis,2023,Article,2023-05-01 00:00:00,DOI:10.1093/plcell/koad143,"DNA methylation is a conserved epigenetic modification that is typically associated with silencing of transposable elements and promoter methylated genes. However, some DNA-methylated loci are protected from silencing, allowing transcriptional flexibility in response to environmental and developmental cues. Through a genetic screen in Arabidopsis (Arabidopsis thaliana), we uncovered an antagonistic relationship between the MICRORCHIDIA (MORC) protein and the IMITATION SWITCH (ISWI) complex in regulating the DNA-methylated SUPPRESSOR OF DRM1 DRM2 CMT3 (SDC) reporter. We demonstrate that components of the plant-specific ISWI complex, including CHROMATIN REMODELING PROTEIN11 (CHR11), CHR17, DDT-RELATED PROTEIN4 (DDR4), and DDR5, function to partially de-repress silenced genes and transposable elements (TEs), through their function in regulating nucleosome distribution. This action also requires the known transcriptional activator DNAJ proteins, providing a mechanistic link between nucleosome remodeling and transcriptional activation. Genome-wide studies revealed that DDR4 causes changes in nucleosome distribution at numerous loci, a subset of which is associated with changes in DNA methylation and/or transcription. Our work reveals a mechanism for balancing transcriptional flexibility and faithful silencing of DNA-methylated loci. As both ISWI and MORC family genes are widely distributed across plant and animal species, our findings may represent a conserved eukaryotic mechanism for fine-tuning gene expression under epigenetic regulation.","Qiyan Zhang, Zejia Wang, Xinyue Lu, Huiru Yan",,2025-01-20 00:49:06.086566,2025-01-20 00:49:06.086566,2f424434d68511ef984c0c9a3cb15cde
DDR5 design challenges,https://www.researchgate.net/publication/326156661_DDR5_design_challenges,2018,Conference Paper,2018-05-01 00:00:00,,,"Bhagwath Nitin, Wolff Randy, Ikeda Shinichiro, Fujine Eiji",,2025-01-20 00:49:06.111751,2025-01-20 00:49:06.111751,2f424434d68511ef984c0c9a3cb15cde
Package Propagation Delay Dependency of Advanced Fly-By Routing For Next Generation DDR5,https://www.researchgate.net/publication/371516047_Package_Propagation_Delay_Dependency_of_Advanced_Fly-By_Routing_For_Next_Generation_DDR5,2023,Conference Paper,2023-05-01 00:00:00,,,"Vinod Arjun Huddar, Shinyoung Park",,2025-01-20 00:49:06.133385,2025-01-20 00:49:06.133385,2f424434d68511ef984c0c9a3cb15cde
